2.602200000000000273e+02 8.169700000000000273e+01 1.054299999999999926e+01
2.599300000000000068e+02 8.164900000000000091e+01 1.043490000000000073e+01
2.598199999999999932e+02 8.162600000000000477e+01 1.039450000000000074e+01
2.596399999999999864e+02 8.158299999999999841e+01 1.032729999999999926e+01
2.593199999999999932e+02 8.149800000000000466e+01 1.021540000000000070e+01
2.588799999999999955e+02 8.135800000000000409e+01 1.006900000000000084e+01
2.584300000000000068e+02 8.118800000000000239e+01 9.923199999999999577e+00
2.579599999999999795e+02 8.098699999999999477e+01 9.778000000000000469e+00
2.574599999999999795e+02 8.075499999999999545e+01 9.633399999999999963e+00
2.569499999999999886e+02 8.049200000000000443e+01 9.489399999999999835e+00
2.564200000000000159e+02 8.020000000000000284e+01 9.346099999999999852e+00
2.558700000000000045e+02 7.987699999999999534e+01 9.203500000000000014e+00
2.553100000000000023e+02 7.952500000000000568e+01 9.061700000000000088e+00
2.547199999999999989e+02 7.914400000000000546e+01 8.920600000000000307e+00
2.541200000000000045e+02 7.873399999999999466e+01 8.780300000000000438e+00
2.534900000000000091e+02 7.829600000000000648e+01 8.640900000000000247e+00
2.528499999999999943e+02 7.782999999999999829e+01 8.502299999999999969e+00
2.521899999999999977e+02 7.733700000000000330e+01 8.364599999999999369e+00
2.515099999999999909e+02 7.681699999999999307e+01 8.227800000000000225e+00
2.508199999999999932e+02 7.626999999999999602e+01 8.091900000000000759e+00
2.501100000000000136e+02 7.569899999999999807e+01 7.957099999999999618e+00
2.493799999999999955e+02 7.510200000000000387e+01 7.823199999999999932e+00
2.486299999999999955e+02 7.448199999999999932e+01 7.690299999999999692e+00
2.478700000000000045e+02 7.383799999999999386e+01 7.558500000000000441e+00
2.470900000000000034e+02 7.317100000000000648e+01 7.427699999999999747e+00
2.462899999999999920e+02 7.248300000000000409e+01 7.298099999999999810e+00
2.454799999999999898e+02 7.177299999999999613e+01 7.169500000000000206e+00
2.446500000000000057e+02 7.104300000000000637e+01 7.042099999999999582e+00
2.438100000000000023e+02 7.029399999999999693e+01 6.915799999999999947e+00
2.429499999999999886e+02 6.952599999999999625e+01 6.790799999999999947e+00
2.420800000000000125e+02 6.874099999999999966e+01 6.666900000000000048e+00
2.411999999999999886e+02 6.793899999999999295e+01 6.544200000000000017e+00
2.402899999999999920e+02 6.712099999999999511e+01 6.422699999999999854e+00
2.393799999999999955e+02 6.628900000000000148e+01 6.302500000000000213e+00
2.384499999999999886e+02 6.544199999999999307e+01 6.183600000000000207e+00
2.375200000000000102e+02 6.458299999999999841e+01 6.065999999999999837e+00
2.365600000000000023e+02 6.371099999999999852e+01 5.949600000000000222e+00
2.355999999999999943e+02 6.282900000000000063e+01 5.834500000000000242e+00
2.346299999999999955e+02 6.193599999999999994e+01 5.720799999999999663e+00
2.336399999999999864e+02 6.103499999999999659e+01 5.608399999999999608e+00
2.326399999999999864e+02 6.012500000000000000e+01 5.497399999999999842e+00
2.316399999999999864e+02 5.920799999999999841e+01 5.387699999999999712e+00
2.306200000000000045e+02 5.828499999999999659e+01 5.279399999999999871e+00
2.295999999999999943e+02 5.735600000000000165e+01 5.172500000000000320e+00
2.285699999999999932e+02 5.642399999999999949e+01 5.066900000000000404e+00
2.275300000000000011e+02 5.548700000000000188e+01 4.962799999999999656e+00
2.264799999999999898e+02 5.454800000000000182e+01 4.860000000000000320e+00
2.254199999999999875e+02 5.360799999999999699e+01 4.758700000000000152e+00
2.243600000000000136e+02 5.266700000000000159e+01 4.658699999999999619e+00
2.238300000000000125e+02 5.220199999999999818e+01 4.609899999999999665e+00
2.233100000000000023e+02 5.174000000000000199e+01 4.561700000000000088e+00
2.227899999999999920e+02 5.128099999999999881e+01 4.514199999999999768e+00
2.222700000000000102e+02 5.082600000000000051e+01 4.467399999999999594e+00
2.217500000000000000e+02 5.037400000000000233e+01 4.421199999999999797e+00
2.212299999999999898e+02 4.992600000000000193e+01 4.375499999999999723e+00
2.207199999999999989e+02 4.947999999999999687e+01 4.330499999999999794e+00
2.202100000000000080e+02 4.903799999999999670e+01 4.286100000000000243e+00
2.196999999999999886e+02 4.860000000000000142e+01 4.242300000000000182e+00
2.191899999999999977e+02 4.816400000000000148e+01 4.199099999999999611e+00
2.186899999999999977e+02 4.773299999999999699e+01 4.156399999999999650e+00
2.181899999999999977e+02 4.730400000000000205e+01 4.114200000000000301e+00
2.176899999999999977e+02 4.687899999999999778e+01 4.072600000000000442e+00
2.171899999999999977e+02 4.645700000000000074e+01 4.031600000000000072e+00
2.166899999999999977e+02 4.603799999999999670e+01 3.991000000000000103e+00
2.161999999999999886e+02 4.562299999999999756e+01 3.951000000000000068e+00
2.157100000000000080e+02 4.521099999999999852e+01 3.911399999999999988e+00
2.152199999999999989e+02 4.480299999999999727e+01 3.872399999999999842e+00
2.147299999999999898e+02 4.439800000000000324e+01 3.833800000000000097e+00
2.142500000000000000e+02 4.399600000000000222e+01 3.795700000000000074e+00
2.137599999999999909e+02 4.359700000000000131e+01 3.758100000000000218e+00
2.132800000000000011e+02 4.320199999999999818e+01 3.720899999999999874e+00
2.128000000000000114e+02 4.281000000000000227e+01 3.684200000000000141e+00
2.123300000000000125e+02 4.242199999999999704e+01 3.648000000000000131e+00
2.118499999999999943e+02 4.203600000000000136e+01 3.612099999999999866e+00
2.113799999999999955e+02 4.165400000000000347e+01 3.576700000000000212e+00
2.109099999999999966e+02 4.127499999999999858e+01 3.541700000000000070e+00
2.104399999999999977e+02 4.089900000000000091e+01 3.507099999999999884e+00
